Column1,dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
0,1461888000,2016-04-29 00:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.8,73.27,73.4,75.96,1017,,,78,11.5,220,,,,,75,803,Clouds,broken clouds,04n
1,1461891600,2016-04-29 01:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.85,72.05,73.4,76.05,1017,,,78,13.8,220,,,,,75,803,Clouds,broken clouds,04n
2,1461895200,2016-04-29 02:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.81,73.09,73.4,75.78,1017,,,73,10.36,240,,,,,75,803,Clouds,broken clouds,04n
3,1461898800,2016-04-29 03:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.65,72.23,72.76,75.67,1017,,,73,11.5,230,,,,,75,803,Clouds,broken clouds,04n
4,1461902400,2016-04-29 04:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.56,71.44,72.6,75.44,1016,,,73,12.66,230,,,,,90,804,Clouds,overcast clouds,04n
5,1461906000,2016-04-29 05:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.45,72.97,71.95,75.12,1016,,,83,12.66,240,,,,,75,803,Clouds,broken clouds,04n
6,1461909600,2016-04-29 06:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,72.09,68.88,71.6,75,1016,,,78,14.97,230,,,,,75,803,Clouds,broken clouds,04n
7,1461913200,2016-04-29 07:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,72.05,67.39,71.37,74.99,1016,,,73,16.11,230,,,,,75,803,Clouds,broken clouds,04n
8,1461916800,2016-04-29 08:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,72.01,68.63,71.24,74.77,1016,,,73,13.8,250,,,,,75,803,Clouds,broken clouds,04n
9,1461920400,2016-04-29 09:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,71.98,71.31,71.19,74.61,1016,,,78,10.36,230,,,,,40,802,Clouds,scattered clouds,03d
10,1461924000,2016-04-29 10:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,73.22,72.27,72.11,73.61,1016,,,73,10.36,230,,,,,90,804,Clouds,overcast clouds,04d
