dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1459468800,2016-04-01 00:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,27,31.26,26.73,27.3,1017,,,83,2.1,30,,,,,20,801,Clouds,few clouds,02n
1459472400,2016-04-01 01:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.99,31.25,26.67,27.28,1017,,,83,2.1,350,,,,,20,801,Clouds,few clouds,02n
1459476000,2016-04-01 02:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.96,31.2,26.6,27.19,1017,,,83,2.1,20,,,,,20,801,Clouds,few clouds,02n
1459479600,2016-04-01 03:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.78,31.69,25.95,27,1017,,,83,1,340,,,,,20,801,Clouds,few clouds,02n
1459483200,2016-04-01 04:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.09,30.82,25.69,26.65,1017,,,88,1.5,300,,,,,40,802,Clouds,scattered clouds,03n
1459486800,2016-04-01 05:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,25.36,30.03,25,26.4,1016,,,88,1,320,,,,,40,802,Clouds,scattered clouds,03n
1459490400,2016-04-01 06:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,25.27,29.16,25,26.16,1016,,,88,2.04,349,,,,,40,802,Clouds,scattered clouds,03n
1459494000,2016-04-01 07:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,25.11,29.29,24.57,25.76,1016,,,88,1.5,10,,,,,40,802,Clouds,scattered clouds,03n
1459497600,2016-04-01 08:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,25.06,29.21,24.42,25.64,1016,,,88,1.5,270,,,,,40,802,Clouds,scattered clouds,03n
1459501200,2016-04-01 09:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,24.57,29.07,24,25.81,1016,,,94,1.5,340,,,,,20,801,Clouds,few clouds,02d
1459504800,2016-04-01 10:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,24.9,29.94,24,26.9,1017,,,94,1,320,,,,,20,801,Clouds,few clouds,02d
1459508400,2016-04-01 11:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,27.31,32.87,25.89,28,1017,,,83,0.5,360,,,,,0,800,Clear,sky is clear,01d
1459512000,2016-04-01 12:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,28.57,32.52,26.19,30,1017,,,70,1.5,330,,,,,20,801,Clouds,few clouds,02d
1459515600,2016-04-01 13:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,29.87,31.67,26.46,32,1017,,,55,2.6,10,,,,,20,801,Clouds,few clouds,02d
1459519200,2016-04-01 14:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,30.54,33.32,26.64,33,1016,,,52,1,30,,,,,20,801,Clouds,few clouds,02d
1459522800,2016-04-01 15:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,30.73,30.74,26.69,33,1015,,,55,5.7,130,,,,,20,801,Clouds,few clouds,02d
1459526400,2016-04-01 16:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,30.14,30.45,26.66,32,1014,,,59,5.7,120,,,,,20,801,Clouds,few clouds,02d
1459530000,2016-04-01 17:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,28.99,30.11,26.78,30,1014,,,66,5.1,120,,,,,40,802,Clouds,scattered clouds,03d
1459533600,2016-04-01 18:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,28.36,30.38,26.9,29,1013,,,70,4.1,80,,,,,75,211,Thunderstorm,thunderstorm,11d
1459537200,2016-04-01 19:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,28.39,31.63,27.06,29,1013,,,74,3.1,50,,,,,20,211,Thunderstorm,thunderstorm,11d
1459540800,2016-04-01 20:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,28.43,31.69,27.31,29,1014,,,74,3.1,60,,,,,20,801,Clouds,few clouds,02d
1459544400,2016-04-01 21:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,27.69,31.39,27.05,28,1014,,,78,2.6,50,,,,,20,801,Clouds,few clouds,02n
1459548000,2016-04-01 22:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,27.51,32.24,26.3,28,1015,,,78,1,50,,,,,20,801,Clouds,few clouds,02n
1459551600,2016-04-01 23:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.96,31.97,26.44,27.38,1015,,,83,1,340,,,,,40,802,Clouds,scattered clouds,03n
1459555200,2016-04-02 00:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.89,31.86,26.21,27.33,1016,,,83,1,320,,,,,75,803,Clouds,broken clouds,04n
1459558800,2016-04-02 01:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.25,31.08,26,27.17,1016,,,88,1.5,300,,,,,40,802,Clouds,scattered clouds,03n
1459562400,2016-04-02 02:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,26.16,31.28,25.89,26.95,1015,,,88,1,340,,,,,40,802,Clouds,scattered clouds,03n
1459566000,2016-04-02 03:00:00 +0000 UTC,-10800,Vitoria,-20.297618,-40.295777,25.34,29.63,24.92,26.68,1015,,,88,1.52,253,,,,,40,802,Clouds,scattered clouds,03n
